{'start': 0.0, 'duration': 4.86, 'text': 'девушка проклята оборотнем после'}
{'start': 2.28, 'duration': 5.16, 'text': 'ужасного случая в лесу Сможет ли она'}
{'start': 4.86, 'duration': 5.279, 'text': 'жить с проклятием или её постигнет та же'}
{'start': 7.44, 'duration': 6.239, 'text': 'участь что и оборотня который её проклял'}
{'start': 10.139, 'duration': 6.181, 'text': 'Давайте узнаем в норвежском фильме 2022'}
{'start': 13.679, 'duration': 5.52, 'text': 'года под названием викингульвин более'}
{'start': 16.32, 'duration': 5.28, 'text': 'тысячи лет назад гудбрант мрачный вождь'}
{'start': 19.199, 'duration': 5.101, 'text': 'викингов отправился со своими людьми на'}
{'start': 21.6, 'duration': 4.98, 'text': '20 кораблях грабить нормандию во время'}
{'start': 24.3, 'duration': 4.62, 'text': 'нападения они обнаружили тайную комнату'}
{'start': 26.58, 'duration': 4.74, 'text': 'в одном из аббатств несмотря на мольбы'}
{'start': 28.92, 'duration': 5.24, 'text': 'монахов гудбрант вошел в тайную комнату'}
{'start': 31.32, 'duration': 5.7, 'text': 'Однако в комнате не было ни золота'}
{'start': 34.16, 'duration': 6.219, 'text': 'никаких-либо других сокровищ только один'}
{'start': 37.02, 'duration': 5.879, 'text': 'волк не зная что это такое Викинги взяли'}
{'start': 40.379, 'duration': 4.68, 'text': 'волка с собой в Норвегию неожиданно'}
{'start': 42.899, 'duration': 4.741, 'text': 'Викинги были найдены мертвыми на своём'}
{'start': 45.059, 'duration': 5.52, 'text': 'корабле А волк пропал по прибытии на'}
{'start': 47.64, 'duration': 5.099, 'text': 'родину волк о котором говорили что это'}
{'start': 50.579, 'duration': 4.861, 'text': 'Адская гончая оказался в глухих'}
{'start': 52.739, 'duration': 4.8, 'text': 'скандинавских лесах в настоящем в'}
{'start': 55.44, 'duration': 4.5, 'text': 'муниципалитете нюба подросток по имени'}
{'start': 57.539, 'duration': 5.101, 'text': 'Талис смотрит фильм со своим млад'}
{'start': 59.94, 'duration': 4.799, 'text': 'строить Дженни которая глухонемая в это'}
{'start': 62.64, 'duration': 4.62, 'text': 'время она получает сообщение от своего'}
{'start': 64.739, 'duration': 4.74, 'text': 'одноклассника и НАСА с вопросом придет'}
{'start': 67.26, 'duration': 4.8, 'text': 'ли она на их мини вечеринку залива'}
{'start': 69.479, 'duration': 5.101, 'text': 'подумав об этом она тайком кладет в'}
{'start': 72.06, 'duration': 5.34, 'text': 'сумку упаковку консервированного пива но'}
{'start': 74.58, 'duration': 5.16, 'text': 'Дженни замечает ее и спрашивает можно ли'}
{'start': 77.4, 'duration': 4.92, 'text': 'ей тоже прийти далее отказывается и'}
{'start': 79.74, 'duration': 4.86, 'text': 'уходит сказав о чему Артуру что идет'}
{'start': 82.32, 'duration': 4.799, 'text': 'навстречу с одноклассниками на улице'}
{'start': 84.6, 'duration': 5.1, 'text': 'тали встречает свою мать Лев женщину'}
{'start': 87.119, 'duration': 5.521, 'text': 'полицейского которая советует ей не'}
{'start': 89.7, 'duration': 5.16, 'text': 'засиживаться допоздна прибыв бухту Джонс'}
{'start': 92.64, 'duration': 5.159, 'text': 'встречает ее и они некоторое время'}
{'start': 94.86, 'duration': 5.34, 'text': 'общаются после чего другой подросток по'}
{'start': 97.799, 'duration': 4.741, 'text': 'имени Элен звонит джонасу желая'}
{'start': 100.2, 'duration': 4.08, 'text': 'поговорить с ним оставшись Одна она'}
{'start': 102.54, 'duration': 4.439, 'text': 'чувствует себя не в своей тарелке'}
{'start': 104.28, 'duration': 5.4, 'text': 'поэтому берет пиво и пьет в одиночестве'}
{'start': 106.979, 'duration': 5.761, 'text': 'в это время другие подростки дразнят'}
{'start': 109.68, 'duration': 5.0, 'text': 'тали сплетничи о том почему она и её'}
{'start': 112.74, 'duration': 4.62, 'text': 'семья переехали в нюбо из Швеции'}
{'start': 114.68, 'duration': 4.78, 'text': 'разозлившись она решает уйти и'}
{'start': 117.36, 'duration': 4.799, 'text': 'отправляется на прогулку проходя мимо'}
{'start': 119.46, 'duration': 4.92, 'text': 'леса стали замечает йонаса и эллины'}
{'start': 122.159, 'duration': 5.161, 'text': 'подслушивает их разговор о ней Элен'}
{'start': 124.38, 'duration': 5.879, 'text': 'похоже не нравится тале Особенно потому'}
{'start': 127.32, 'duration': 4.98, 'text': 'что она пришла на ее вечеринку без ее'}
{'start': 130.259, 'duration': 3.001, 'text': 'предварительного уведомления в свою'}
{'start': 132.3, 'duration': 3.72, 'text': 'очередь'}
{'start': 133.26, 'duration': 4.38, 'text': 'йонас утверждает что он просто рад что у'}
{'start': 136.02, 'duration': 4.14, 'text': 'них в городе появился кто-то новый'}
{'start': 137.64, 'duration': 4.86, 'text': 'поэтому он хочет поприветствовать талли'}
{'start': 140.16, 'duration': 4.56, 'text': 'как следует выслушав все это та ли'}
{'start': 142.5, 'duration': 5.04, 'text': 'собирается уходить как вдруг Элин'}
{'start': 144.72, 'duration': 5.879, 'text': 'вскрикивает словно ей больно оглянувшись'}
{'start': 147.54, 'duration': 5.82, 'text': 'Она видит и кин лежащую на земле и сразу'}
{'start': 150.599, 'duration': 5.22, 'text': 'же идет проверить ее тали находит Элен'}
{'start': 153.36, 'duration': 5.34, 'text': 'всю в крови и пытается помочь ей встать'}
{'start': 155.819, 'duration': 5.581, 'text': 'но на них внезапно нападают сзади в этот'}
{'start': 158.7, 'duration': 4.619, 'text': 'момент она видит ей НАСА который сидит в'}
{'start': 161.4, 'duration': 4.8, 'text': 'углу и тоже весь в крови к сожалению'}
{'start': 163.319, 'duration': 5.101, 'text': 'талли не может ничего сделать кроме как'}
{'start': 166.2, 'duration': 4.5, 'text': 'закричать от ужаса когда какое-то'}
{'start': 168.42, 'duration': 5.039, 'text': 'невидимое родное утаскивает Элен через'}
{'start': 170.7, 'duration': 6.0, 'text': 'некоторое время приезжает Лив и элленд'}
{'start': 173.459, 'duration': 5.761, 'text': 'Шериф небо водит ее в курс дела добавляя'}
{'start': 176.7, 'duration': 5.039, 'text': 'что Это преступление будет давить на них'}
{'start': 179.22, 'duration': 5.519, 'text': 'поскольку Элен дочь мэра он также'}
{'start': 181.739, 'duration': 5.22, 'text': 'сообщает ей что тали один из студентов'}
{'start': 184.739, 'duration': 5.101, 'text': 'на которых было совершенно нападение'}
{'start': 186.959, 'duration': 5.521, 'text': 'Знай это Лев сразу же идет к талии'}
{'start': 189.84, 'duration': 5.52, 'text': 'спрашивает как она но тали все еще в'}
{'start': 192.48, 'duration': 5.28, 'text': 'шоке и слишком напугана чтобы понять что'}
{'start': 195.36, 'duration': 4.56, 'text': 'только что произошло вскоре после этого'}
{'start': 197.76, 'duration': 4.14, 'text': 'лиф осматривает сломанное дерево и'}
{'start': 199.92, 'duration': 4.98, 'text': 'находит коготь который похоже'}
{'start': 201.9, 'duration': 5.4, 'text': 'принадлежит Волку на следующий день тали'}
{'start': 204.9, 'duration': 5.339, 'text': 'снится сон о том что она плавает в лесу'}
{'start': 207.3, 'duration': 5.4, 'text': 'когда ее будет мама Лев спрашивает как'}
{'start': 210.239, 'duration': 4.86, 'text': 'она себя чувствует на что талия отвечает'}
{'start': 212.7, 'duration': 5.22, 'text': 'Что все хорошо тогда Лев снова'}
{'start': 215.099, 'duration': 5.521, 'text': 'спрашивает что случилось но тали не'}
{'start': 217.92, 'duration': 5.64, 'text': 'может вспомнить ничего кроме того что'}
{'start': 220.62, 'duration': 5.16, 'text': 'видела как Алину Павла на землю и её'}
{'start': 223.56, 'duration': 4.8, 'text': 'утащили в школе лифы илиарт получают'}
{'start': 225.78, 'duration': 5.16, 'text': 'показания учеников которые были на'}
{'start': 228.36, 'duration': 5.22, 'text': 'вечеринке прошлой ночью один за другим'}
{'start': 230.94, 'duration': 4.92, 'text': 'офицера задают им вопросы но никто из'}
{'start': 233.58, 'duration': 4.68, 'text': 'них не дает ответов которые могут быть'}
{'start': 235.86, 'duration': 4.86, 'text': 'полезны для расследования за исключением'}
{'start': 238.26, 'duration': 4.86, 'text': 'заявления талии о том что она слышала'}
{'start': 240.72, 'duration': 4.799, 'text': 'воющий Крик во время нападения после'}
{'start': 243.12, 'duration': 4.8, 'text': 'этого Лев отвозит тали домой в машине'}
{'start': 245.519, 'duration': 4.64, 'text': 'мать и дочь разговаривают об отце тали'}
{'start': 247.92, 'duration': 5.58, 'text': 'Что приводит к ссоре Как выясняется'}
{'start': 250.159, 'duration': 5.681, 'text': 'родители тали давно живут отдельно олив'}
{'start': 253.5, 'duration': 5.519, 'text': 'взяла от Алик себе после смерти бывшего'}
{'start': 255.84, 'duration': 5.579, 'text': 'мужа Лев говорит что изо всех сил'}
{'start': 259.019, 'duration': 5.041, 'text': 'старалась сохранить хорошие отношения с'}
{'start': 261.419, 'duration': 4.801, 'text': 'бывшим мужем но между ними так ничего и'}
{'start': 264.06, 'duration': 4.26, 'text': 'не вышло позже тем же вечером Лив'}
{'start': 266.22, 'duration': 4.199, 'text': 'изучает Волков и сравнивает коготь'}
{'start': 268.32, 'duration': 5.28, 'text': 'который она взяла с места преступления'}
{'start': 270.419, 'duration': 5.821, 'text': 'убедившись что она на верном пути она'}
{'start': 273.6, 'duration': 5.28, 'text': 'звонит илиарту и спрашивает могут ли они'}
{'start': 276.24, 'duration': 5.82, 'text': 'послать охотничью партию чтобы выследить'}
{'start': 278.88, 'duration': 5.58, 'text': 'волка но Шериф настаивает что сначала им'}
